Title,Author,PublicationYear,Genre
Golden Horizons,George Orwell,1984,Fiction
Shadows of the Past,Mark Twain,1897,Historical
The Great Adventure,Charles Dickens,1974,Satire
Whispering Memories,Gabriel Garcia Marquez,1847,Romance
Dreams of Tomorrow,Leo Tolstoy,1893,Mystery
Winds of Change,Jane Austen,1915,Dystopian
Dreams of Tomorrow,George Orwell,1984,Drama
The Great Adventure,Gabriel Garcia Marquez,1875,Mystery
Broken Promises,Toni Morrison,1867,Science Fiction
Whispering Memories,Harper Lee,1878,Romance
Silent Screams,Ernest Hemingway,1828,Satire
Tales Untold,J.D. Salinger,2013,Drama
Golden Horizons,Jane Austen,1983,Drama
Winds of Change,George Orwell,1934,Romance
Shadows of the Past,Mark Twain,1995,Romance
Silent Screams,Harper Lee,1947,Drama
Beneath the Stars,Virginia Woolf,1880,Satire
Whispering Memories,J.D. Salinger,1946,Satire
Broken Promises,George Orwell,2005,Dystopian
Beneath the Stars,J.D. Salinger,1901,Romance
Broken Promises,Ernest Hemingway,1998,Satire
Golden Horizons,Ernest Hemingway,1875,Romance
Golden Horizons,Toni Morrison,1802,Science Fiction
Winds of Change,Toni Morrison,1981,Fantasy
Beneath the Stars,Jane Austen,1865,Mystery
Silent Screams,Ernest Hemingway,1858,Drama
Forgotten Paths,Charles Dickens,1827,Fiction
Silent Screams,Mark Twain,1883,Historical
Beneath the Stars,George Orwell,1899,Fantasy
The Great Adventure,Charles Dickens,1808,Science Fiction
Broken Promises,J.D. Salinger,1834,Fantasy
The Great Adventure,Mark Twain,1858,Drama
The Great Adventure,F. Scott Fitzgerald,1930,Dystopian
Echoes of Silence,Charles Dickens,1977,Fantasy
Dreams of Tomorrow,Harper Lee,1835,Fiction
Beneath the Stars,J.D. Salinger,1813,Drama
Winds of Change,Charles Dickens,1981,Historical
Echoes of Silence,F. Scott Fitzgerald,1890,Mystery
Winds of Change,Charles Dickens,1844,Mystery
Broken Promises,J.D. Salinger,1973,Satire
Whispering Memories,F. Scott Fitzgerald,1932,Fantasy
Winds of Change,Ernest Hemingway,1873,Fiction
Silent Screams,F. Scott Fitzgerald,1800,Drama
Silent Screams,George Orwell,2013,Mystery
The Great Adventure,Mark Twain,2013,Drama
Tales Untold,F. Scott Fitzgerald,1940,Satire
Forgotten Paths,Mark Twain,1858,Historical
Tales Untold,Leo Tolstoy,1974,Science Fiction
Beneath the Stars,F. Scott Fitzgerald,1812,Fantasy
Dreams of Tomorrow,Harper Lee,1985,Romance
Dreams of Tomorrow,F. Scott Fitzgerald,2010,Satire
Beneath the Stars,Charles Dickens,1914,Romance
The Great Adventure,J.D. Salinger,1864,Historical
Forgotten Paths,George Orwell,1943,Dystopian
Beneath the Stars,F. Scott Fitzgerald,1977,Science Fiction
Dreams of Tomorrow,Gabriel Garcia Marquez,1979,Drama
Golden Horizons,F. Scott Fitzgerald,1880,Romance
Beneath the Stars,Jane Austen,1839,Dystopian
Dreams of Tomorrow,Toni Morrison,2000,Historical
Silent Screams,Jane Austen,2020,Fiction
Whispering Memories,Mark Twain,1914,Mystery
Broken Promises,Ernest Hemingway,1840,Mystery
Tales Untold,J.D. Salinger,1929,Fiction
The Great Adventure,Toni Morrison,1892,Science Fiction
Echoes of Silence,Gabriel Garcia Marquez,1825,Science Fiction
Broken Promises,Leo Tolstoy,2011,Fantasy
Broken Promises,Mark Twain,1821,Science Fiction
Whispering Memories,Gabriel Garcia Marquez,1800,Romance
Tales Untold,Leo Tolstoy,1970,Satire
Silent Screams,Ernest Hemingway,1810,Drama
Broken Promises,George Orwell,1981,Romance
The Great Adventure,J.D. Salinger,2005,Drama
Dreams of Tomorrow,Ernest Hemingway,1934,Fantasy
Broken Promises,J.D. Salinger,1822,Dystopian
Beneath the Stars,Mark Twain,1818,Fantasy
Dreams of Tomorrow,Gabriel Garcia Marquez,1915,Satire
The Great Adventure,F. Scott Fitzgerald,1942,Historical
Tales Untold,Leo Tolstoy,1884,Fantasy
Broken Promises,George Orwell,1857,Drama
Dreams of Tomorrow,Jane Austen,1813,Satire
Echoes of Silence,J.D. Salinger,1929,Romance
Dreams of Tomorrow,Harper Lee,2019,Dystopian
Winds of Change,Jane Austen,1838,Dystopian
Shadows of the Past,F. Scott Fitzgerald,1858,Dystopian
Golden Horizons,F. Scott Fitzgerald,1922,Romance
Tales Untold,Jane Austen,2002,Science Fiction
Golden Horizons,Mark Twain,1826,Mystery
Whispering Memories,Virginia Woolf,1897,Satire
Beneath the Stars,Ernest Hemingway,1818,Mystery
Echoes of Silence,F. Scott Fitzgerald,1956,Romance
Broken Promises,Mark Twain,1872,Satire
Whispering Memories,Jane Austen,1823,Fiction
Shadows of the Past,Harper Lee,2003,Mystery
Winds of Change,F. Scott Fitzgerald,1950,Drama
Shadows of the Past,Charles Dickens,1890,Mystery
Golden Horizons,George Orwell,1869,Science Fiction
Echoes of Silence,Toni Morrison,1821,Science Fiction
The Great Adventure,Mark Twain,1856,Historical
Forgotten Paths,Jane Austen,2011,Fantasy
Echoes of Silence,Ernest Hemingway,1935,Romance
Echoes of Silence,Ernest Hemingway,2015,Science Fiction
Tales Untold,Mark Twain,1820,Romance
Broken Promises,Leo Tolstoy,1994,Romance
The Great Adventure,George Orwell,1804,Romance
Echoes of Silence,Ernest Hemingway,1834,Drama
Tales Untold,Leo Tolstoy,2022,Romance
Whispering Memories,Virginia Woolf,1989,Fiction
Dreams of Tomorrow,Toni Morrison,1837,Fantasy
Dreams of Tomorrow,Mark Twain,1990,Historical
Broken Promises,Leo Tolstoy,1854,Dystopian
Dreams of Tomorrow,Harper Lee,1977,Historical
Whispering Memories,Ernest Hemingway,1983,Fantasy
Whispering Memories,Mark Twain,1886,Fiction
Dreams of Tomorrow,Toni Morrison,1837,Science Fiction
Beneath the Stars,F. Scott Fitzgerald,2004,Science Fiction
Tales Untold,Gabriel Garcia Marquez,1961,Fiction
Silent Screams,George Orwell,1931,Fantasy
Echoes of Silence,F. Scott Fitzgerald,1869,Historical
Forgotten Paths,Harper Lee,1820,Romance
Echoes of Silence,Harper Lee,1937,Fiction
Beneath the Stars,Gabriel Garcia Marquez,1997,Satire
Broken Promises,F. Scott Fitzgerald,2002,Science Fiction
Dreams of Tomorrow,Virginia Woolf,1824,Historical
Echoes of Silence,J.D. Salinger,1975,Fantasy
Broken Promises,Gabriel Garcia Marquez,1867,Historical
Tales Untold,Mark Twain,1949,Science Fiction
Silent Screams,Gabriel Garcia Marquez,1897,Drama
Tales Untold,Gabriel Garcia Marquez,1825,Historical
Silent Screams,Ernest Hemingway,1862,Drama
Whispering Memories,Toni Morrison,1955,Romance
Golden Horizons,Gabriel Garcia Marquez,1828,Fiction
The Great Adventure,Ernest Hemingway,1989,Drama
Whispering Memories,Harper Lee,1802,Fiction
Winds of Change,Toni Morrison,1931,Fiction
Forgotten Paths,Mark Twain,1829,Mystery
Silent Screams,Toni Morrison,1806,Mystery
Golden Horizons,Virginia Woolf,1877,Science Fiction
Winds of Change,Leo Tolstoy,1942,Dystopian
Echoes of Silence,Mark Twain,2018,Historical
Echoes of Silence,Gabriel Garcia Marquez,1922,Fantasy
Tales Untold,J.D. Salinger,1894,Fantasy
Echoes of Silence,Leo Tolstoy,1851,Romance
Beneath the Stars,F. Scott Fitzgerald,1896,Science Fiction
Broken Promises,Gabriel Garcia Marquez,1959,Drama
Dreams of Tomorrow,George Orwell,1925,Romance
Broken Promises,Gabriel Garcia Marquez,1804,Fiction
Silent Screams,Virginia Woolf,1985,Fantasy
Beneath the Stars,J.D. Salinger,1866,Historical
Dreams of Tomorrow,Charles Dickens,1981,Science Fiction
Beneath the Stars,Toni Morrison,1964,Mystery
Echoes of Silence,Toni Morrison,1996,Romance
Dreams of Tomorrow,Charles Dickens,1916,Satire
Dreams of Tomorrow,Leo Tolstoy,2000,Drama
Shadows of the Past,Virginia Woolf,1927,Mystery
Winds of Change,Charles Dickens,1822,Drama
Dreams of Tomorrow,Virginia Woolf,1989,Fiction
Silent Screams,Harper Lee,1910,Dystopian
Beneath the Stars,Gabriel Garcia Marquez,1860,Science Fiction
Winds of Change,Gabriel Garcia Marquez,1932,Fiction
The Great Adventure,George Orwell,1902,Fantasy
Shadows of the Past,Virginia Woolf,2017,Fiction
Winds of Change,Harper Lee,1925,Dystopian
Tales Untold,George Orwell,1974,Romance
Beneath the Stars,George Orwell,1813,Science Fiction
Golden Horizons,Toni Morrison,1983,Drama
Echoes of Silence,Toni Morrison,1945,Mystery
Tales Untold,Jane Austen,2005,Romance
Tales Untold,George Orwell,2008,Science Fiction
Forgotten Paths,Charles Dickens,1957,Mystery
Forgotten Paths,Toni Morrison,1860,Satire
Golden Horizons,J.D. Salinger,1884,Romance
Shadows of the Past,Jane Austen,1940,Romance
Golden Horizons,Toni Morrison,1920,Drama
Tales Untold,Leo Tolstoy,1941,Science Fiction
Shadows of the Past,Mark Twain,1927,Fantasy
Whispering Memories,Ernest Hemingway,1845,Fantasy
Silent Screams,Ernest Hemingway,1966,Mystery
Dreams of Tomorrow,Virginia Woolf,1848,Drama
Golden Horizons,Toni Morrison,1816,Dystopian
Shadows of the Past,Virginia Woolf,2001,Fantasy
Whispering Memories,Jane Austen,1852,Mystery
Dreams of Tomorrow,Mark Twain,1806,Drama
Tales Untold,Virginia Woolf,1905,Romance
Beneath the Stars,J.D. Salinger,2010,Dystopian
Shadows of the Past,George Orwell,1963,Drama
The Great Adventure,J.D. Salinger,2003,Fiction
Echoes of Silence,F. Scott Fitzgerald,1987,Science Fiction
Beneath the Stars,Mark Twain,1861,Romance
Forgotten Paths,Leo Tolstoy,1810,Mystery
Forgotten Paths,Charles Dickens,1953,Satire
Whispering Memories,Ernest Hemingway,1937,Historical
Forgotten Paths,Ernest Hemingway,1807,Satire
Whispering Memories,Mark Twain,1812,Satire
Shadows of the Past,Charles Dickens,1884,Science Fiction
Echoes of Silence,George Orwell,1991,Fantasy
Echoes of Silence,Mark Twain,1834,Mystery
The Great Adventure,Charles Dickens,1990,Fantasy
Tales Untold,Mark Twain,1806,Science Fiction
Shadows of the Past,Toni Morrison,1828,Historical
Broken Promises,Jane Austen,1896,Science Fiction
Golden Horizons,Harper Lee,1906,Fantasy
Shadows of the Past,Toni Morrison,2012,Historical
Whispering Memories,George Orwell,1848,Science Fiction
Winds of Change,Ernest Hemingway,1813,Mystery
Broken Promises,Mark Twain,1923,Science Fiction
Beneath the Stars,F. Scott Fitzgerald,1952,Fiction
Shadows of the Past,Gabriel Garcia Marquez,1903,Science Fiction
Shadows of the Past,Mark Twain,1933,Satire
Forgotten Paths,Harper Lee,1898,Science Fiction
Tales Untold,Virginia Woolf,1946,Romance
Forgotten Paths,Harper Lee,1808,Romance
The Great Adventure,Toni Morrison,1994,Mystery
Silent Screams,Mark Twain,2011,Mystery
The Great Adventure,Gabriel Garcia Marquez,1954,Fiction
The Great Adventure,Mark Twain,1884,Fiction
Golden Horizons,J.D. Salinger,1908,Dystopian
Golden Horizons,Toni Morrison,1991,Fantasy
Echoes of Silence,Harper Lee,1914,Mystery
Shadows of the Past,Ernest Hemingway,1949,Science Fiction
Whispering Memories,Jane Austen,1917,Historical
Silent Screams,George Orwell,1987,Fantasy
Broken Promises,Charles Dickens,1922,Romance
Beneath the Stars,J.D. Salinger,1820,Science Fiction
Echoes of Silence,Virginia Woolf,1888,Dystopian
Dreams of Tomorrow,Virginia Woolf,1836,Drama
Forgotten Paths,Charles Dickens,1995,Science Fiction
Golden Horizons,Virginia Woolf,1833,Fiction
Tales Untold,Jane Austen,1864,Science Fiction
Echoes of Silence,Ernest Hemingway,1900,Satire
Winds of Change,Toni Morrison,1961,Romance
Forgotten Paths,Ernest Hemingway,1857,Science Fiction
Beneath the Stars,Harper Lee,2003,Satire
Tales Untold,Mark Twain,1871,Satire
Dreams of Tomorrow,George Orwell,1800,Dystopian
Winds of Change,Charles Dickens,1957,Science Fiction
Whispering Memories,Mark Twain,1987,Fiction
Golden Horizons,Charles Dickens,1967,Science Fiction
The Great Adventure,Ernest Hemingway,1900,Dystopian
Winds of Change,Virginia Woolf,1988,Historical
Beneath the Stars,Charles Dickens,2008,Fiction
Beneath the Stars,Leo Tolstoy,1985,Satire
Broken Promises,Jane Austen,1920,Drama
Tales Untold,F. Scott Fitzgerald,1985,Historical
Tales Untold,Toni Morrison,1997,Satire
Broken Promises,Mark Twain,1858,Science Fiction
Broken Promises,Jane Austen,1828,Drama
Echoes of Silence,Charles Dickens,2019,Science Fiction
Silent Screams,Charles Dickens,1839,Fantasy
Silent Screams,Virginia Woolf,1955,Science Fiction
Echoes of Silence,J.D. Salinger,1823,Romance
Silent Screams,Toni Morrison,2011,Science Fiction
Winds of Change,Gabriel Garcia Marquez,1839,Romance
Forgotten Paths,Virginia Woolf,1802,Romance
Golden Horizons,George Orwell,1958,Mystery
Silent Screams,Toni Morrison,2004,Science Fiction
Tales Untold,Gabriel Garcia Marquez,2011,Fiction
The Great Adventure,J.D. Salinger,1984,Drama
Broken Promises,Harper Lee,2019,Fantasy
Tales Untold,Ernest Hemingway,1813,Romance
Silent Screams,Harper Lee,1891,Fantasy
Beneath the Stars,Gabriel Garcia Marquez,1928,Science Fiction
Echoes of Silence,George Orwell,1824,Mystery
Broken Promises,George Orwell,1957,Mystery
Tales Untold,Gabriel Garcia Marquez,1933,Historical
Broken Promises,George Orwell,1882,Drama
Forgotten Paths,Toni Morrison,1800,Fantasy
Golden Horizons,F. Scott Fitzgerald,1849,Dystopian
Tales Untold,Toni Morrison,1949,Dystopian
Broken Promises,Gabriel Garcia Marquez,1998,Romance
Forgotten Paths,Harper Lee,1994,Fantasy
Echoes of Silence,Charles Dickens,1865,Fantasy
Echoes of Silence,F. Scott Fitzgerald,1812,Fiction
The Great Adventure,Jane Austen,1824,Satire
Beneath the Stars,J.D. Salinger,1816,Drama
Golden Horizons,Jane Austen,2016,Dystopian
Tales Untold,Toni Morrison,1864,Historical
Broken Promises,Charles Dickens,2021,Romance
Silent Screams,Mark Twain,1911,Mystery
Whispering Memories,Virginia Woolf,2008,Mystery
Silent Screams,George Orwell,1827,Satire
Tales Untold,Toni Morrison,1978,Drama
The Great Adventure,George Orwell,1854,Historical
Silent Screams,Mark Twain,1831,Satire
Beneath the Stars,J.D. Salinger,1962,Drama
Whispering Memories,J.D. Salinger,2002,Science Fiction
Beneath the Stars,Charles Dickens,1960,Dystopian
Golden Horizons,F. Scott Fitzgerald,1831,Mystery
Tales Untold,George Orwell,1800,Science Fiction
The Great Adventure,George Orwell,1861,Romance
Whispering Memories,Toni Morrison,1923,Fantasy
Whispering Memories,George Orwell,2014,Satire
Beneath the Stars,Charles Dickens,1951,Romance
Silent Screams,Gabriel Garcia Marquez,1930,Fiction
Echoes of Silence,F. Scott Fitzgerald,1961,Historical
The Great Adventure,Harper Lee,1881,Satire
Beneath the Stars,Gabriel Garcia Marquez,2005,Fantasy
The Great Adventure,George Orwell,1945,Satire
Forgotten Paths,Mark Twain,1823,Dystopian
Echoes of Silence,Jane Austen,1824,Satire
Broken Promises,Gabriel Garcia Marquez,1961,Mystery
Golden Horizons,Leo Tolstoy,1932,Dystopian
Forgotten Paths,George Orwell,1817,Historical
Echoes of Silence,Mark Twain,1975,Drama
Forgotten Paths,Jane Austen,1871,Science Fiction
Whispering Memories,Jane Austen,1972,Dystopian
Silent Screams,Toni Morrison,2015,Romance
Shadows of the Past,Ernest Hemingway,1917,Satire
Golden Horizons,F. Scott Fitzgerald,2004,Romance
Tales Untold,Virginia Woolf,1843,Fiction
Golden Horizons,Toni Morrison,1870,Drama
Silent Screams,J.D. Salinger,1832,Fiction
Shadows of the Past,Charles Dickens,1913,Historical
Whispering Memories,Gabriel Garcia Marquez,2007,Drama
Shadows of the Past,Gabriel Garcia Marquez,1894,Science Fiction
Tales Untold,Charles Dickens,1952,Dystopian
Golden Horizons,Jane Austen,1863,Science Fiction
Dreams of Tomorrow,George Orwell,1864,Drama
Forgotten Paths,F. Scott Fitzgerald,1868,Romance
Echoes of Silence,Mark Twain,1999,Fantasy
Dreams of Tomorrow,Mark Twain,1807,Historical
Shadows of the Past,Jane Austen,1966,Satire
Beneath the Stars,Toni Morrison,2006,Drama
The Great Adventure,J.D. Salinger,1927,Science Fiction
Broken Promises,George Orwell,2013,Drama
Silent Screams,Jane Austen,1846,Science Fiction
Forgotten Paths,Jane Austen,1879,Romance
Shadows of the Past,Toni Morrison,1876,Mystery
Golden Horizons,Toni Morrison,1860,Science Fiction
Winds of Change,Charles Dickens,2003,Mystery
Silent Screams,Ernest Hemingway,1932,Romance
Dreams of Tomorrow,Charles Dickens,1892,Historical
Silent Screams,Gabriel Garcia Marquez,1853,Historical
Beneath the Stars,Leo Tolstoy,1911,Romance
Shadows of the Past,J.D. Salinger,1900,Satire
Shadows of the Past,Leo Tolstoy,1952,Dystopian
Tales Untold,Harper Lee,1993,Romance
Whispering Memories,Toni Morrison,1860,Dystopian
Broken Promises,J.D. Salinger,2020,Romance
The Great Adventure,Harper Lee,1897,Fantasy
Shadows of the Past,Leo Tolstoy,2001,Drama
Winds of Change,J.D. Salinger,1813,Mystery
Broken Promises,F. Scott Fitzgerald,1933,Science Fiction
Winds of Change,Toni Morrison,1906,Fantasy
Beneath the Stars,Charles Dickens,1859,Science Fiction
Winds of Change,Virginia Woolf,1918,Science Fiction
Shadows of the Past,Ernest Hemingway,1837,Satire
Dreams of Tomorrow,Harper Lee,1835,Satire
Golden Horizons,Gabriel Garcia Marquez,1882,Fantasy
Tales Untold,Toni Morrison,1897,Historical
Forgotten Paths,Virginia Woolf,1867,Dystopian
Silent Screams,Charles Dickens,2009,Satire
Tales Untold,George Orwell,1914,Fiction
Silent Screams,Mark Twain,1835,Drama
Forgotten Paths,Jane Austen,2007,Dystopian
Forgotten Paths,J.D. Salinger,1856,Mystery
Echoes of Silence,Charles Dickens,1883,Drama
Whispering Memories,Toni Morrison,1905,Fantasy
Echoes of Silence,F. Scott Fitzgerald,1966,Satire
Silent Screams,Gabriel Garcia Marquez,1808,Fantasy
Shadows of the Past,J.D. Salinger,1891,Satire
Silent Screams,Toni Morrison,1819,Fantasy
Winds of Change,Charles Dickens,2014,Dystopian
Dreams of Tomorrow,Charles Dickens,1968,Historical
Dreams of Tomorrow,Harper Lee,1968,Romance
Winds of Change,J.D. Salinger,1864,Drama
Forgotten Paths,Harper Lee,2009,Science Fiction
Shadows of the Past,Virginia Woolf,1945,Fiction
Whispering Memories,Jane Austen,1996,Dystopian
Whispering Memories,F. Scott Fitzgerald,1814,Romance
Tales Untold,Jane Austen,1996,Dystopian
Golden Horizons,Gabriel Garcia Marquez,1870,Drama
Echoes of Silence,Ernest Hemingway,1852,Satire
Shadows of the Past,Ernest Hemingway,1887,Historical
Silent Screams,Leo Tolstoy,2008,Dystopian
Silent Screams,F. Scott Fitzgerald,1885,Romance
Dreams of Tomorrow,Gabriel Garcia Marquez,1804,Historical
The Great Adventure,Virginia Woolf,1944,Satire
Dreams of Tomorrow,Harper Lee,1881,Romance
Beneath the Stars,Toni Morrison,1871,Fantasy
Beneath the Stars,Leo Tolstoy,1934,Satire
Forgotten Paths,Gabriel Garcia Marquez,1879,Mystery
Forgotten Paths,J.D. Salinger,1904,Mystery
Forgotten Paths,Mark Twain,1802,Drama
Beneath the Stars,Ernest Hemingway,1817,Science Fiction
Shadows of the Past,Leo Tolstoy,1964,Mystery
Whispering Memories,Harper Lee,1970,Drama
Broken Promises,F. Scott Fitzgerald,1932,Historical
Forgotten Paths,Harper Lee,1852,Dystopian
Beneath the Stars,Gabriel Garcia Marquez,1904,Drama
Whispering Memories,Charles Dickens,1827,Mystery
Broken Promises,F. Scott Fitzgerald,1915,Historical
Broken Promises,Leo Tolstoy,1842,Drama
Winds of Change,Ernest Hemingway,1964,Dystopian
Shadows of the Past,J.D. Salinger,2019,Fantasy
Tales Untold,Toni Morrison,1804,Science Fiction
Silent Screams,Ernest Hemingway,1836,Drama
Forgotten Paths,F. Scott Fitzgerald,1874,Dystopian
Silent Screams,Gabriel Garcia Marquez,1999,Romance
Whispering Memories,Harper Lee,1988,Fantasy
The Great Adventure,J.D. Salinger,1994,Drama
Echoes of Silence,Charles Dickens,1871,Historical
Shadows of the Past,Leo Tolstoy,1940,Fiction
Winds of Change,Harper Lee,1805,Dystopian
Winds of Change,J.D. Salinger,1965,Fantasy
The Great Adventure,Harper Lee,1992,Romance
Silent Screams,Ernest Hemingway,2007,Historical
The Great Adventure,Virginia Woolf,1823,Dystopian
Forgotten Paths,J.D. Salinger,1816,Fantasy
Forgotten Paths,Mark Twain,1932,Mystery
Broken Promises,F. Scott Fitzgerald,1916,Mystery
Echoes of Silence,George Orwell,1853,Romance
Golden Horizons,Toni Morrison,1898,Mystery
Forgotten Paths,Jane Austen,2000,Dystopian
Forgotten Paths,Mark Twain,1903,Dystopian
Echoes of Silence,Gabriel Garcia Marquez,1901,Historical
Golden Horizons,Harper Lee,1913,Mystery
Broken Promises,Harper Lee,1820,Fantasy
The Great Adventure,Ernest Hemingway,1806,Historical
Echoes of Silence,Ernest Hemingway,1814,Fantasy
Tales Untold,Mark Twain,1957,Mystery
Tales Untold,Jane Austen,1971,Historical
Echoes of Silence,Leo Tolstoy,1803,Mystery
Silent Screams,Leo Tolstoy,1975,Science Fiction
Shadows of the Past,Toni Morrison,2017,Science Fiction
Forgotten Paths,J.D. Salinger,1932,Historical
The Great Adventure,J.D. Salinger,1933,Mystery
Shadows of the Past,Virginia Woolf,1918,Mystery
The Great Adventure,Ernest Hemingway,1999,Dystopian
Beneath the Stars,Leo Tolstoy,1959,Drama
Dreams of Tomorrow,Leo Tolstoy,1872,Drama
Tales Untold,Leo Tolstoy,1971,Fiction
The Great Adventure,Gabriel Garcia Marquez,1829,Historical
Dreams of Tomorrow,Jane Austen,1837,Fiction
Beneath the Stars,Toni Morrison,1975,Drama
Silent Screams,F. Scott Fitzgerald,1908,Science Fiction
Echoes of Silence,Toni Morrison,1926,Romance
Dreams of Tomorrow,F. Scott Fitzgerald,1920,Satire
Whispering Memories,Leo Tolstoy,1997,Romance
Broken Promises,Jane Austen,2016,Satire
Shadows of the Past,Toni Morrison,1973,Science Fiction
Beneath the Stars,Toni Morrison,1811,Dystopian
Forgotten Paths,George Orwell,1875,Drama
Dreams of Tomorrow,F. Scott Fitzgerald,1843,Mystery
Echoes of Silence,J.D. Salinger,1815,Historical
Beneath the Stars,Charles Dickens,1948,Science Fiction
Whispering Memories,J.D. Salinger,1940,Satire
Beneath the Stars,George Orwell,1931,Drama
Winds of Change,Harper Lee,2009,Science Fiction
Golden Horizons,Toni Morrison,1979,Historical
Shadows of the Past,George Orwell,1817,Historical
Beneath the Stars,Gabriel Garcia Marquez,1879,Historical
Tales Untold,George Orwell,1952,Mystery
Dreams of Tomorrow,Leo Tolstoy,1978,Science Fiction
Whispering Memories,Charles Dickens,2001,Fiction
Broken Promises,Virginia Woolf,1854,Mystery
Dreams of Tomorrow,Gabriel Garcia Marquez,2007,Romance
Shadows of the Past,George Orwell,1820,Fiction
Broken Promises,Mark Twain,1875,Mystery
Broken Promises,Jane Austen,1957,Mystery
Silent Screams,Leo Tolstoy,1844,Dystopian
Beneath the Stars,Charles Dickens,1911,Drama
Dreams of Tomorrow,Harper Lee,1989,Drama
Winds of Change,Ernest Hemingway,1973,Science Fiction
Dreams of Tomorrow,Virginia Woolf,1996,Dystopian
Whispering Memories,Harper Lee,1804,Science Fiction
Silent Screams,Virginia Woolf,1940,Romance
Winds of Change,George Orwell,1829,Fantasy
Whispering Memories,Mark Twain,1890,Historical
Tales Untold,Gabriel Garcia Marquez,1917,Satire
Golden Horizons,Jane Austen,1937,Historical
Winds of Change,Mark Twain,1801,Drama
Broken Promises,Toni Morrison,2009,Satire
Echoes of Silence,F. Scott Fitzgerald,1875,Satire
Whispering Memories,Virginia Woolf,1822,Science Fiction
Silent Screams,Mark Twain,2010,Science Fiction
Shadows of the Past,Ernest Hemingway,1979,Science Fiction
The Great Adventure,F. Scott Fitzgerald,1988,Dystopian
Shadows of the Past,Harper Lee,1849,Historical
Broken Promises,Mark Twain,1907,Satire
Echoes of Silence,Harper Lee,1816,Fiction
Tales Untold,Virginia Woolf,1895,Fantasy
Golden Horizons,Mark Twain,2002,Science Fiction
Dreams of Tomorrow,Ernest Hemingway,1900,Fiction
Dreams of Tomorrow,Leo Tolstoy,1960,Historical
Broken Promises,Jane Austen,1925,Drama
Winds of Change,George Orwell,1968,Satire
Whispering Memories,J.D. Salinger,1883,Satire
Golden Horizons,Toni Morrison,1827,Satire
Broken Promises,Gabriel Garcia Marquez,1861,Science Fiction
Beneath the Stars,Harper Lee,1894,Mystery
Broken Promises,Virginia Woolf,2004,Fantasy
Beneath the Stars,Jane Austen,1972,Drama
Silent Screams,Gabriel Garcia Marquez,1832,Historical
Broken Promises,Jane Austen,1984,Satire
Silent Screams,Ernest Hemingway,1936,Mystery
Dreams of Tomorrow,Harper Lee,2006,Drama
Broken Promises,Virginia Woolf,1836,Dystopian
Dreams of Tomorrow,Charles Dickens,1819,Fiction
