Title,Author,PublicationYear,Genre
Tales Untold,Virginia Woolf,1806,Fiction
Echoes of Silence,F. Scott Fitzgerald,1974,Drama
Silent Screams,Toni Morrison,1908,Science Fiction
Silent Screams,Toni Morrison,1801,Mystery
Dreams of Tomorrow,Ernest Hemingway,1954,Fantasy
The Great Adventure,Jane Austen,2009,Mystery
Winds of Change,Mark Twain,1893,Drama
Dreams of Tomorrow,Gabriel Garcia Marquez,1917,Science Fiction
Dreams of Tomorrow,J.D. Salinger,1890,Romance
Silent Screams,Harper Lee,1976,Satire
Forgotten Paths,George Orwell,1884,Historical
Broken Promises,Gabriel Garcia Marquez,1878,Fantasy
Tales Untold,Virginia Woolf,1984,Satire
Dreams of Tomorrow,J.D. Salinger,1968,Drama
Winds of Change,Mark Twain,1815,Historical
Winds of Change,Charles Dickens,1862,Fantasy
Shadows of the Past,George Orwell,1918,Science Fiction
Tales Untold,F. Scott Fitzgerald,1847,Historical
Beneath the Stars,Ernest Hemingway,1938,Mystery
Silent Screams,Mark Twain,1993,Drama
Beneath the Stars,J.D. Salinger,1862,Drama
Beneath the Stars,Ernest Hemingway,1805,Fiction
Dreams of Tomorrow,George Orwell,2021,Mystery
Echoes of Silence,Virginia Woolf,1800,Mystery
Echoes of Silence,Toni Morrison,2009,Mystery
Winds of Change,Mark Twain,1839,Fantasy
Dreams of Tomorrow,Ernest Hemingway,1932,Science Fiction
Winds of Change,Ernest Hemingway,1952,Satire
Whispering Memories,Leo Tolstoy,1804,Romance
Silent Screams,Jane Austen,1811,Dystopian
Whispering Memories,Toni Morrison,1824,Dystopian
Winds of Change,Toni Morrison,2017,Fiction
The Great Adventure,Mark Twain,1860,Dystopian
Broken Promises,J.D. Salinger,1874,Drama
Beneath the Stars,Jane Austen,1960,Drama
Dreams of Tomorrow,George Orwell,1922,Science Fiction
Tales Untold,F. Scott Fitzgerald,1862,Dystopian
Broken Promises,Virginia Woolf,1932,Mystery
Golden Horizons,Gabriel Garcia Marquez,1861,Fantasy
Golden Horizons,J.D. Salinger,1889,Satire
Golden Horizons,Ernest Hemingway,1920,Drama
Broken Promises,J.D. Salinger,1997,Satire
Golden Horizons,Leo Tolstoy,1800,Dystopian
Silent Screams,Ernest Hemingway,1829,Satire
Winds of Change,Ernest Hemingway,1941,Fiction
Silent Screams,Toni Morrison,1984,Mystery
Shadows of the Past,F. Scott Fitzgerald,1929,Romance
Shadows of the Past,J.D. Salinger,1900,Historical
The Great Adventure,Ernest Hemingway,1862,Historical
Winds of Change,Toni Morrison,1889,Science Fiction
Tales Untold,J.D. Salinger,1965,Romance
Winds of Change,Toni Morrison,2008,Drama
Golden Horizons,George Orwell,2009,Drama
Silent Screams,Mark Twain,1814,Science Fiction
Dreams of Tomorrow,Toni Morrison,1926,Historical
Winds of Change,F. Scott Fitzgerald,1816,Fantasy
Tales Untold,Virginia Woolf,2022,Drama
Tales Untold,Charles Dickens,1973,Fiction
The Great Adventure,George Orwell,1870,Mystery
Whispering Memories,Harper Lee,1918,Fiction
Dreams of Tomorrow,Jane Austen,1867,Romance
Whispering Memories,Toni Morrison,1990,Satire
Beneath the Stars,Charles Dickens,1928,Historical
Whispering Memories,Gabriel Garcia Marquez,1875,Science Fiction
Forgotten Paths,Leo Tolstoy,1868,Satire
Shadows of the Past,F. Scott Fitzgerald,1840,Drama
Dreams of Tomorrow,Toni Morrison,1876,Romance
Whispering Memories,George Orwell,1818,Drama
Broken Promises,Virginia Woolf,1843,Fiction
Shadows of the Past,Mark Twain,1932,Romance
Beneath the Stars,Charles Dickens,1988,Historical
Forgotten Paths,Gabriel Garcia Marquez,2001,Fantasy
Shadows of the Past,J.D. Salinger,1856,Fiction
Dreams of Tomorrow,Toni Morrison,1950,Fiction
Forgotten Paths,F. Scott Fitzgerald,1876,Drama
Forgotten Paths,Harper Lee,1908,Historical
The Great Adventure,Charles Dickens,1883,Dystopian
Forgotten Paths,Harper Lee,1824,Science Fiction
Shadows of the Past,F. Scott Fitzgerald,1935,Romance
Tales Untold,Ernest Hemingway,1940,Dystopian
Golden Horizons,J.D. Salinger,1892,Romance
Golden Horizons,Charles Dickens,1873,Science Fiction
The Great Adventure,Toni Morrison,1873,Satire
Dreams of Tomorrow,Toni Morrison,1834,Science Fiction
Whispering Memories,Jane Austen,2012,Science Fiction
Whispering Memories,Charles Dickens,1990,Romance
Winds of Change,George Orwell,1977,Fiction
Echoes of Silence,F. Scott Fitzgerald,1952,Mystery
Broken Promises,George Orwell,2012,Historical
Silent Screams,Mark Twain,1936,Fiction
Golden Horizons,Harper Lee,1932,Fiction
The Great Adventure,Jane Austen,1833,Science Fiction
Beneath the Stars,Jane Austen,1835,Satire
The Great Adventure,Toni Morrison,1924,Satire
Winds of Change,Toni Morrison,1864,Fantasy
The Great Adventure,Mark Twain,1907,Fantasy
Silent Screams,Leo Tolstoy,1880,Satire
The Great Adventure,Charles Dickens,1878,Fiction
Dreams of Tomorrow,Mark Twain,1984,Satire
Forgotten Paths,Gabriel Garcia Marquez,1985,Dystopian
Forgotten Paths,Harper Lee,1857,Satire
The Great Adventure,Harper Lee,1930,Romance
Dreams of Tomorrow,Gabriel Garcia Marquez,1888,Dystopian
Broken Promises,Charles Dickens,1858,Drama
Golden Horizons,Virginia Woolf,1837,Fiction
The Great Adventure,J.D. Salinger,1885,Satire
Broken Promises,Toni Morrison,1855,Dystopian
Beneath the Stars,Toni Morrison,1844,Fiction
Dreams of Tomorrow,Mark Twain,1951,Dystopian
Beneath the Stars,J.D. Salinger,1868,Satire
The Great Adventure,Harper Lee,1829,Drama
Shadows of the Past,Mark Twain,1882,Satire
Winds of Change,Ernest Hemingway,1946,Fantasy
The Great Adventure,Virginia Woolf,1984,Mystery
Shadows of the Past,Ernest Hemingway,1885,Romance
The Great Adventure,Ernest Hemingway,1930,Dystopian
The Great Adventure,Ernest Hemingway,1993,Science Fiction
Beneath the Stars,Charles Dickens,1920,Science Fiction
Winds of Change,F. Scott Fitzgerald,1892,Dystopian
Winds of Change,George Orwell,1945,Mystery
Broken Promises,Jane Austen,1973,Fantasy
Beneath the Stars,Jane Austen,1900,Drama
Whispering Memories,Ernest Hemingway,1887,Fantasy
Tales Untold,Harper Lee,1952,Dystopian
Silent Screams,Jane Austen,1800,Satire
Dreams of Tomorrow,Charles Dickens,1949,Fiction
Winds of Change,Mark Twain,1887,Fantasy
Golden Horizons,Gabriel Garcia Marquez,1830,Fiction
Forgotten Paths,F. Scott Fitzgerald,1890,Fantasy
Broken Promises,Harper Lee,1832,Romance
Broken Promises,Gabriel Garcia Marquez,2001,Fantasy
Silent Screams,Virginia Woolf,1878,Mystery
Dreams of Tomorrow,J.D. Salinger,1947,Science Fiction
Winds of Change,Charles Dickens,1911,Science Fiction
Broken Promises,Gabriel Garcia Marquez,1952,Fiction
Whispering Memories,Jane Austen,1952,Satire
Winds of Change,Harper Lee,1840,Fiction
Beneath the Stars,Charles Dickens,1864,Fiction
Beneath the Stars,F. Scott Fitzgerald,1926,Fantasy
Winds of Change,Ernest Hemingway,2007,Mystery
Dreams of Tomorrow,Mark Twain,1945,Fantasy
Forgotten Paths,Harper Lee,2004,Science Fiction
Tales Untold,F. Scott Fitzgerald,1811,Drama
Beneath the Stars,Harper Lee,1984,Drama
Golden Horizons,F. Scott Fitzgerald,1811,Satire
Echoes of Silence,F. Scott Fitzgerald,2003,Drama
Whispering Memories,Jane Austen,1931,Historical
Echoes of Silence,Charles Dickens,1846,Drama
Shadows of the Past,Toni Morrison,1908,Fiction
Broken Promises,Gabriel Garcia Marquez,1963,Science Fiction
Silent Screams,Charles Dickens,1813,Mystery
Winds of Change,F. Scott Fitzgerald,1859,Dystopian
Golden Horizons,Harper Lee,2009,Science Fiction
Echoes of Silence,J.D. Salinger,1947,Science Fiction
Whispering Memories,Gabriel Garcia Marquez,1857,Romance
Dreams of Tomorrow,Toni Morrison,1809,Mystery
Echoes of Silence,Jane Austen,2009,Romance
Echoes of Silence,Gabriel Garcia Marquez,2023,Historical
The Great Adventure,J.D. Salinger,1937,Fiction
Beneath the Stars,Leo Tolstoy,1892,Fantasy
Dreams of Tomorrow,J.D. Salinger,1852,Dystopian
Broken Promises,Virginia Woolf,1930,Science Fiction
Shadows of the Past,Ernest Hemingway,1830,Dystopian
Forgotten Paths,Leo Tolstoy,1871,Drama
Tales Untold,J.D. Salinger,1958,Mystery
Echoes of Silence,Jane Austen,1915,Historical
Shadows of the Past,F. Scott Fitzgerald,1930,Satire
Whispering Memories,Toni Morrison,1880,Historical
Echoes of Silence,J.D. Salinger,1907,Fantasy
Broken Promises,George Orwell,1942,Science Fiction
Tales Untold,Gabriel Garcia Marquez,1864,Romance
Broken Promises,Charles Dickens,2016,Fiction
Echoes of Silence,George Orwell,1947,Historical
Beneath the Stars,Jane Austen,1855,Fantasy
Tales Untold,F. Scott Fitzgerald,1869,Historical
Whispering Memories,Jane Austen,1810,Drama
Whispering Memories,George Orwell,1969,Satire
Dreams of Tomorrow,Mark Twain,1989,Fiction
Silent Screams,Charles Dickens,2003,Fiction
Beneath the Stars,Mark Twain,2008,Satire
Echoes of Silence,Mark Twain,1834,Science Fiction
Dreams of Tomorrow,Jane Austen,1888,Mystery
Silent Screams,Ernest Hemingway,1906,Romance
Winds of Change,F. Scott Fitzgerald,2016,Satire
Winds of Change,Jane Austen,1955,Mystery
Whispering Memories,Charles Dickens,1949,Fantasy
Whispering Memories,Mark Twain,1829,Satire
Forgotten Paths,Ernest Hemingway,2019,Historical
Beneath the Stars,Ernest Hemingway,1898,Drama
Golden Horizons,Gabriel Garcia Marquez,1965,Dystopian
Echoes of Silence,George Orwell,1872,Fantasy
Winds of Change,Ernest Hemingway,1995,Romance
Forgotten Paths,Toni Morrison,1965,Science Fiction
Silent Screams,F. Scott Fitzgerald,1841,Romance
Broken Promises,George Orwell,1885,Satire
Silent Screams,F. Scott Fitzgerald,1922,Science Fiction
Winds of Change,Gabriel Garcia Marquez,1985,Satire
Forgotten Paths,Harper Lee,1802,Fantasy
Whispering Memories,Harper Lee,1816,Dystopian
Whispering Memories,Charles Dickens,1827,Dystopian
Broken Promises,Mark Twain,2016,Romance
Beneath the Stars,Charles Dickens,1817,Fiction
Forgotten Paths,Harper Lee,1819,Satire
Golden Horizons,J.D. Salinger,2017,Drama
Forgotten Paths,Charles Dickens,1977,Mystery
Shadows of the Past,Toni Morrison,1980,Fantasy
Broken Promises,F. Scott Fitzgerald,1995,Science Fiction
Shadows of the Past,Mark Twain,1838,Fiction
Tales Untold,Charles Dickens,2004,Historical
Echoes of Silence,Jane Austen,1972,Mystery
Golden Horizons,Charles Dickens,2021,Science Fiction
Winds of Change,F. Scott Fitzgerald,1972,Dystopian
Beneath the Stars,F. Scott Fitzgerald,1986,Mystery
Dreams of Tomorrow,Toni Morrison,1934,Fiction
Beneath the Stars,Leo Tolstoy,1868,Mystery
The Great Adventure,Toni Morrison,1856,Romance
Dreams of Tomorrow,Mark Twain,1951,Romance
Winds of Change,Mark Twain,1907,Drama
Echoes of Silence,George Orwell,1962,Fantasy
Beneath the Stars,George Orwell,1801,Dystopian
Tales Untold,Harper Lee,1800,Drama
Beneath the Stars,Ernest Hemingway,2009,Drama
Broken Promises,Charles Dickens,1830,Fiction
Golden Horizons,Mark Twain,1879,Dystopian
Shadows of the Past,J.D. Salinger,1934,Romance
Broken Promises,Ernest Hemingway,2014,Historical
Whispering Memories,Harper Lee,1969,Fantasy
Shadows of the Past,Toni Morrison,1872,Historical
Golden Horizons,Charles Dickens,1974,Fantasy
Tales Untold,Mark Twain,1894,Dystopian
Silent Screams,Harper Lee,1975,Satire
Forgotten Paths,Virginia Woolf,1896,Historical
Forgotten Paths,Gabriel Garcia Marquez,2021,Fantasy
Winds of Change,Ernest Hemingway,1939,Fantasy
Broken Promises,Harper Lee,1994,Romance
Golden Horizons,Harper Lee,1820,Mystery
Winds of Change,J.D. Salinger,1827,Drama
Dreams of Tomorrow,J.D. Salinger,1893,Mystery
Dreams of Tomorrow,Ernest Hemingway,1933,Science Fiction
Dreams of Tomorrow,Harper Lee,1902,Fantasy
Tales Untold,Leo Tolstoy,1899,Science Fiction
Echoes of Silence,George Orwell,1831,Fantasy
Echoes of Silence,Harper Lee,1963,Dystopian
Echoes of Silence,Mark Twain,1895,Historical
Silent Screams,Leo Tolstoy,1857,Science Fiction
Winds of Change,George Orwell,2002,Mystery
Tales Untold,Charles Dickens,1931,Dystopian
Beneath the Stars,F. Scott Fitzgerald,1983,Fiction
The Great Adventure,Gabriel Garcia Marquez,1992,Fantasy
Whispering Memories,Harper Lee,1976,Dystopian
Whispering Memories,Virginia Woolf,1860,Mystery
Golden Horizons,F. Scott Fitzgerald,1985,Satire
Dreams of Tomorrow,Jane Austen,2020,Fantasy
Golden Horizons,J.D. Salinger,1844,Science Fiction
Forgotten Paths,Virginia Woolf,1923,Romance
Dreams of Tomorrow,Jane Austen,1823,Fiction
Golden Horizons,F. Scott Fitzgerald,1945,Historical
Echoes of Silence,F. Scott Fitzgerald,1862,Satire
Broken Promises,Leo Tolstoy,1908,Mystery
Silent Screams,Ernest Hemingway,1932,Science Fiction
Silent Screams,Gabriel Garcia Marquez,2009,Historical
Dreams of Tomorrow,Jane Austen,1985,Science Fiction
Silent Screams,Leo Tolstoy,1931,Satire
The Great Adventure,J.D. Salinger,1909,Satire
Echoes of Silence,F. Scott Fitzgerald,1865,Drama
Forgotten Paths,George Orwell,1817,Fiction
Beneath the Stars,Ernest Hemingway,1960,Historical
Silent Screams,Jane Austen,1875,Drama
Tales Untold,Jane Austen,1932,Drama
Whispering Memories,J.D. Salinger,1933,Satire
Forgotten Paths,Ernest Hemingway,1881,Romance
Shadows of the Past,Leo Tolstoy,2002,Satire
Tales Untold,F. Scott Fitzgerald,1809,Dystopian
Whispering Memories,Gabriel Garcia Marquez,1817,Dystopian
Tales Untold,Leo Tolstoy,2005,Historical
Winds of Change,George Orwell,1993,Romance
Silent Screams,Virginia Woolf,2001,Science Fiction
Broken Promises,George Orwell,2001,Mystery
Tales Untold,Mark Twain,1871,Mystery
Echoes of Silence,George Orwell,2023,Dystopian
Shadows of the Past,Toni Morrison,1960,Dystopian
Shadows of the Past,Gabriel Garcia Marquez,1808,Fiction
Silent Screams,George Orwell,1809,Mystery
Forgotten Paths,Ernest Hemingway,1874,Science Fiction
Whispering Memories,Gabriel Garcia Marquez,1965,Science Fiction
Broken Promises,F. Scott Fitzgerald,2018,Historical
Forgotten Paths,J.D. Salinger,1917,Romance
Beneath the Stars,George Orwell,1912,Mystery
Tales Untold,Leo Tolstoy,2013,Satire
Beneath the Stars,J.D. Salinger,1839,Science Fiction
Broken Promises,Leo Tolstoy,1830,Fantasy
Echoes of Silence,Jane Austen,1895,Romance
The Great Adventure,Jane Austen,1829,Fiction
Golden Horizons,Leo Tolstoy,1800,Satire
Golden Horizons,Mark Twain,1893,Romance
Whispering Memories,Ernest Hemingway,1822,Dystopian
Silent Screams,F. Scott Fitzgerald,1928,Dystopian
Winds of Change,Leo Tolstoy,2019,Fantasy
The Great Adventure,Leo Tolstoy,1893,Drama
Shadows of the Past,J.D. Salinger,1920,Fiction
Beneath the Stars,Charles Dickens,2000,Fiction
Dreams of Tomorrow,Leo Tolstoy,1941,Science Fiction
Silent Screams,Charles Dickens,1808,Historical
Winds of Change,Jane Austen,1863,Mystery
Echoes of Silence,Ernest Hemingway,1904,Historical
Winds of Change,F. Scott Fitzgerald,1981,Satire
Beneath the Stars,Leo Tolstoy,1815,Dystopian
Shadows of the Past,J.D. Salinger,1982,Fiction
Golden Horizons,Ernest Hemingway,1916,Historical
Beneath the Stars,George Orwell,1823,Mystery
Forgotten Paths,Jane Austen,1949,Science Fiction
Golden Horizons,George Orwell,2009,Satire
Tales Untold,George Orwell,1942,Mystery
Dreams of Tomorrow,Gabriel Garcia Marquez,1982,Satire
Beneath the Stars,Charles Dickens,1853,Dystopian
Winds of Change,Charles Dickens,1872,Fantasy
Beneath the Stars,Virginia Woolf,1855,Fantasy
Beneath the Stars,J.D. Salinger,2017,Mystery
Whispering Memories,Virginia Woolf,2018,Historical
The Great Adventure,Toni Morrison,1855,Science Fiction
Whispering Memories,Charles Dickens,1831,Science Fiction
Golden Horizons,George Orwell,1853,Fiction
Beneath the Stars,Toni Morrison,1973,Dystopian
Winds of Change,F. Scott Fitzgerald,1928,Satire
Beneath the Stars,Mark Twain,1954,Drama
Beneath the Stars,George Orwell,2018,Satire
Tales Untold,Gabriel Garcia Marquez,1822,Fiction
Tales Untold,Gabriel Garcia Marquez,1964,Fantasy
Broken Promises,J.D. Salinger,1930,Romance
Golden Horizons,Toni Morrison,1888,Dystopian
Silent Screams,F. Scott Fitzgerald,1823,Romance
Forgotten Paths,Toni Morrison,1968,Fantasy
Shadows of the Past,Ernest Hemingway,1908,Fantasy
Whispering Memories,Leo Tolstoy,1865,Romance
Silent Screams,Toni Morrison,1802,Mystery
Tales Untold,Mark Twain,1965,Satire
Shadows of the Past,Mark Twain,1927,Mystery
Echoes of Silence,Mark Twain,1898,Science Fiction
Silent Screams,Jane Austen,1891,Historical
Whispering Memories,J.D. Salinger,2013,Historical
Tales Untold,Ernest Hemingway,1902,Mystery
Shadows of the Past,Jane Austen,1955,Mystery
Tales Untold,F. Scott Fitzgerald,1843,Drama
Broken Promises,Toni Morrison,1973,Historical
The Great Adventure,J.D. Salinger,1828,Dystopian
Shadows of the Past,F. Scott Fitzgerald,1836,Science Fiction
Dreams of Tomorrow,Charles Dickens,2001,Science Fiction
Broken Promises,Harper Lee,1924,Fantasy
Broken Promises,Harper Lee,1986,Historical
Echoes of Silence,Virginia Woolf,1852,Romance
Echoes of Silence,Leo Tolstoy,1976,Satire
Echoes of Silence,Ernest Hemingway,1888,Science Fiction
The Great Adventure,Harper Lee,1816,Dystopian
Golden Horizons,J.D. Salinger,1990,Dystopian
Silent Screams,Gabriel Garcia Marquez,1859,Historical
Beneath the Stars,Leo Tolstoy,1832,Romance
Shadows of the Past,J.D. Salinger,1889,Romance
Dreams of Tomorrow,Toni Morrison,1947,Mystery
Broken Promises,Charles Dickens,1984,Dystopian
Tales Untold,F. Scott Fitzgerald,2009,Fantasy
Forgotten Paths,Leo Tolstoy,1865,Science Fiction
Beneath the Stars,Charles Dickens,2016,Historical
Beneath the Stars,Gabriel Garcia Marquez,2005,Science Fiction
Golden Horizons,Ernest Hemingway,2008,Drama
Echoes of Silence,Harper Lee,1914,Satire
Beneath the Stars,J.D. Salinger,1967,Historical
Beneath the Stars,Mark Twain,1849,Historical
Golden Horizons,F. Scott Fitzgerald,1848,Science Fiction
Silent Screams,Mark Twain,1827,Satire
Silent Screams,Leo Tolstoy,1994,Fantasy
Winds of Change,George Orwell,2012,Science Fiction
Beneath the Stars,George Orwell,1866,Fantasy
Beneath the Stars,George Orwell,1888,Romance
Silent Screams,Toni Morrison,1966,Fiction
Golden Horizons,Charles Dickens,1866,Fantasy
Silent Screams,Harper Lee,1848,Science Fiction
Tales Untold,Gabriel Garcia Marquez,1959,Fiction
Broken Promises,Harper Lee,1839,Fiction
Winds of Change,Virginia Woolf,1905,Historical
Tales Untold,Charles Dickens,1954,Satire
Whispering Memories,Ernest Hemingway,1852,Fantasy
Echoes of Silence,Leo Tolstoy,1975,Dystopian
Whispering Memories,Virginia Woolf,1942,Mystery
Silent Screams,Virginia Woolf,1856,Mystery
Dreams of Tomorrow,Harper Lee,1805,Dystopian
Golden Horizons,Gabriel Garcia Marquez,1931,Dystopian
Tales Untold,Harper Lee,2013,Romance
Whispering Memories,Virginia Woolf,1874,Mystery
Forgotten Paths,Ernest Hemingway,1860,Romance
Whispering Memories,Leo Tolstoy,1874,Drama
Echoes of Silence,Charles Dickens,1905,Romance
Winds of Change,Ernest Hemingway,1809,Drama
Golden Horizons,Virginia Woolf,2022,Fiction
Echoes of Silence,F. Scott Fitzgerald,1924,Historical
Forgotten Paths,Ernest Hemingway,1998,Romance
Forgotten Paths,J.D. Salinger,1925,Dystopian
Winds of Change,F. Scott Fitzgerald,2011,Fiction
Shadows of the Past,George Orwell,1902,Science Fiction
Whispering Memories,Charles Dickens,2018,Fantasy
Dreams of Tomorrow,Gabriel Garcia Marquez,2004,Fantasy
Forgotten Paths,Harper Lee,1926,Fiction
Silent Screams,Leo Tolstoy,1868,Historical
The Great Adventure,Ernest Hemingway,1971,Drama
Winds of Change,J.D. Salinger,1851,Romance
Forgotten Paths,George Orwell,1942,Satire
Winds of Change,George Orwell,1802,Science Fiction
Winds of Change,Charles Dickens,1875,Satire
Dreams of Tomorrow,Toni Morrison,1885,Dystopian
Whispering Memories,George Orwell,1935,Fiction
Beneath the Stars,Ernest Hemingway,1830,Romance
Whispering Memories,Mark Twain,1992,Historical
Shadows of the Past,Virginia Woolf,1980,Fiction
Echoes of Silence,Ernest Hemingway,1856,Fiction
Shadows of the Past,Charles Dickens,1848,Science Fiction
Broken Promises,Harper Lee,1936,Romance
Broken Promises,Jane Austen,1837,Satire
Silent Screams,Virginia Woolf,1923,Mystery
Silent Screams,Leo Tolstoy,1945,Historical
Shadows of the Past,J.D. Salinger,1814,Science Fiction
Beneath the Stars,Jane Austen,1943,Romance
The Great Adventure,Toni Morrison,1833,Satire
Winds of Change,Jane Austen,1803,Historical
Silent Screams,Mark Twain,1941,Science Fiction
Dreams of Tomorrow,Toni Morrison,1932,Romance
Echoes of Silence,Charles Dickens,1960,Mystery
Winds of Change,F. Scott Fitzgerald,1864,Romance
Whispering Memories,J.D. Salinger,1989,Romance
Echoes of Silence,Mark Twain,1906,Dystopian
Beneath the Stars,Harper Lee,1867,Science Fiction
Whispering Memories,Charles Dickens,1868,Drama
Broken Promises,Harper Lee,2003,Fiction
Beneath the Stars,Toni Morrison,1885,Drama
Forgotten Paths,Charles Dickens,1850,Drama
Dreams of Tomorrow,Toni Morrison,1917,Dystopian
Echoes of Silence,J.D. Salinger,2014,Dystopian
Echoes of Silence,Mark Twain,1874,Fiction
Whispering Memories,Jane Austen,1858,Science Fiction
Whispering Memories,Leo Tolstoy,1830,Science Fiction
Broken Promises,Virginia Woolf,1813,Historical
Golden Horizons,Virginia Woolf,1841,Fantasy
The Great Adventure,Ernest Hemingway,1933,Historical
Tales Untold,Gabriel Garcia Marquez,1905,Satire
Silent Screams,Virginia Woolf,1847,Satire
Silent Screams,Virginia Woolf,1929,Drama
Silent Screams,J.D. Salinger,1943,Satire
Winds of Change,J.D. Salinger,1838,Fiction
Shadows of the Past,Toni Morrison,2004,Fantasy
Beneath the Stars,Virginia Woolf,1843,Historical
The Great Adventure,Jane Austen,1842,Romance
Forgotten Paths,George Orwell,1890,Fiction
Forgotten Paths,Toni Morrison,1841,Drama
Silent Screams,Virginia Woolf,1962,Romance
Whispering Memories,Charles Dickens,1855,Satire
Dreams of Tomorrow,Leo Tolstoy,1821,Fantasy
Tales Untold,Harper Lee,1888,Dystopian
Winds of Change,J.D. Salinger,1981,Dystopian
Silent Screams,Leo Tolstoy,1840,Dystopian
Beneath the Stars,Virginia Woolf,1889,Dystopian
Beneath the Stars,Virginia Woolf,1850,Science Fiction
Tales Untold,Virginia Woolf,1829,Romance
Tales Untold,Gabriel Garcia Marquez,1848,Fiction
Silent Screams,Charles Dickens,2013,Drama
Echoes of Silence,Charles Dickens,1809,Drama
The Great Adventure,Jane Austen,2004,Dystopian
Forgotten Paths,Virginia Woolf,1974,Drama
Forgotten Paths,Harper Lee,1855,Mystery
Whispering Memories,Gabriel Garcia Marquez,2002,Fantasy
Beneath the Stars,Gabriel Garcia Marquez,1925,Romance
Tales Untold,Leo Tolstoy,1948,Historical
The Great Adventure,Leo Tolstoy,1950,Satire
Golden Horizons,Virginia Woolf,1995,Fantasy
Dreams of Tomorrow,Toni Morrison,1863,Drama
Broken Promises,George Orwell,1868,Historical
Forgotten Paths,Mark Twain,1849,Dystopian
Whispering Memories,Harper Lee,1915,Dystopian
Silent Screams,Ernest Hemingway,1843,Historical
Winds of Change,Charles Dickens,1921,Fantasy
Golden Horizons,George Orwell,1955,Satire
Broken Promises,Jane Austen,2022,Dystopian
Tales Untold,Jane Austen,1906,Romance
Dreams of Tomorrow,Toni Morrison,1871,Historical
Shadows of the Past,Harper Lee,1966,Dystopian
Forgotten Paths,Charles Dickens,1988,Fantasy
Shadows of the Past,Ernest Hemingway,2004,Satire
Tales Untold,Gabriel Garcia Marquez,1929,Science Fiction
Whispering Memories,Mark Twain,1900,Mystery
Silent Screams,Leo Tolstoy,1920,Romance
Shadows of the Past,Harper Lee,1821,Satire
Beneath the Stars,Harper Lee,1959,Science Fiction
Golden Horizons,Mark Twain,1999,Historical
The Great Adventure,Toni Morrison,1906,Drama
Silent Screams,Mark Twain,1978,Fantasy
Broken Promises,Virginia Woolf,1896,Mystery
Silent Screams,F. Scott Fitzgerald,1983,Mystery
Broken Promises,F. Scott Fitzgerald,1822,Fiction
Tales Untold,J.D. Salinger,1855,Romance
The Great Adventure,Ernest Hemingway,1979,Romance
Forgotten Paths,Harper Lee,2009,Fantasy
Tales Untold,Jane Austen,1914,Romance
Tales Untold,Mark Twain,1803,Satire
Golden Horizons,George Orwell,1855,Satire
Broken Promises,F. Scott Fitzgerald,1979,Fantasy
